order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
766f2ea906854dba48165692221f51ce,d9dbc1673f25911995d69582277aed40,delivered,2018-05-26 13:11:00,2018/5/26 13:38,2018/5/28 13:27,2018/6/18 23:58,2018/7/19 0:00
8deb9479ea624f4faf5bcbf20f4499d8,0a9c8e9d3d60525baec492c633d55282,delivered,2018-05-26 15:10:00,2018/5/26 15:38,2018/5/28 14:31,2018/6/18 12:52,2018/7/11 0:00
e3095d728011efc529f2db0e0f4cba46,035aed905c76a63603e6ed5d1d21ae65,delivered,2018-05-26 13:36:00,2018/5/26 13:51,2018/5/29 13:40,2018/6/15 19:51,2018/7/4 0:00
cfd2fa043913decbf8554ea5ce59d723,4a0f043ab94c7e6b5abda776c02ee946,delivered,2018-05-26 21:43:00,2018/5/26 21:55,2018/5/28 15:36,2018/5/29 20:33,2018/6/20 0:00
728bdd52f6c0ce9559950e2486289421,1fb7756db9b41c4632b991eebe03c438,delivered,2018-05-26 09:35:00,2018/5/26 9:50,2018/5/28 14:08,2018/6/7 12:24,2018/6/28 0:00
845686dd9137013d73ed42078be18809,1eef2bcc23c75349976a65957e2e105b,delivered,2018-05-26 13:56:00,2018/5/26 14:18,2018/5/30 19:05,2018/6/1 22:02,2018/6/20 0:00
370cfb4244f1a15b8d60d32fce42c3fd,d6304656af67fcbb83f11a7496be7a32,delivered,2018-05-26 12:49:00,2018/5/26 13:10,2018/5/28 13:58,2018/6/12 23:11,2018/6/28 0:00
d066a1b39a2761019f3109572b3b0db8,97a2701728643f3bb2ede5a9c3a81782,delivered,2018-05-26 12:25:00,2018/5/26 12:35,2018/5/28 7:27,2018/6/11 23:24,2018/7/16 0:00
1eecd2bcaafb81b8fa1c0c28d3de1f32,74a3ec43f4decf8f77dd1049a10b7a83,delivered,2018-05-26 15:41:00,2018/5/26 16:18,2018/5/29 13:28,2018/6/8 23:31,2018/7/5 0:00
0101aea69a09e1aa32caa6dbaba98503,55e153b503a15cf10845bacbb3b4d616,delivered,2018-05-26 13:07:00,2018/5/27 13:10,2018/5/28 14:08,2018/6/16 19:34,2018/7/19 0:00
5a8860de5c94def4edfddc2f88880b2f,d4e2b78958020f76ccb03034b94b1a43,delivered,2018-05-26 13:28:00,2018/5/26 14:35,2018/5/29 13:36,2018/6/6 18:38,2018/7/5 0:00
be55e32a03c6067d7fac887a8f607d11,7222d9a0c96d9a2813e905c54fa170c0,delivered,2018-05-26 03:36:00,2018/5/26 4:22,2018/5/29 15:32,2018/6/5 18:05,2018/7/31 0:00
55567a8e851b2400b53f74ec9b974221,75b55ff7cceeecbc718b1094555f5568,delivered,2018-05-26 19:20:00,2018/5/26 19:38,2018/6/4 13:42,2018/6/14 0:22,2018/6/29 0:00
